"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","logAdjP","Category","category","subcategory"
"GO:0141188","GO:0141188","nucleic acid catabolic process","32/622","479/18860",0.0668058455114822,2.02565634460861,4.19904933245809,0.000134286689988051,0.00284188111370061,0.00225575340684946,"FBLL1/APEX1/CAPRIN1/CDK7/CNOT1/CNOT7/DDX5/DHX36/DHX9/EDC4/EIF4A3/ELAVL1/EXOSC2/EXOSC4/EXOSC6/FXR1/FXR2/HNRNPA0/HSPA1A/HSPA1B/NPM1/PABPC1/PABPC4/PPP2CA/SERBP1/SND1/SYNCRIP/TNKS1BP1/UPF1/VIM/XRN1/ZC3HAV1",32,2.54639409415793,"BP",NA,NA
"GO:0071897","GO:0071897","DNA biosynthetic process","16/622","168/18860",0.0952380952380952,2.88776603889144,4.5387978495245,0.000143839334588928,0.00302994894620195,0.00240503292872617,"PHB1/TCP1/HSP90AB1/CCT5/CCT8/VCP/CCT2/CCT6A/HNRNPA1/HSP90AA1/RFC4/RPA1/TNKS1BP1/USP10/XRCC5/XRN1",16,2.51856468917742,"BP",NA,NA
"GO:0001666","GO:0001666","response to hypoxia","24/622","317/18860",0.0757097791798107,2.29563735583799,4.29624470581809,0.000145950054833169,0.00304979574117115,0.00242078639397529,"CAV1/HSP90B1/P4HB/HYOU1/ATP1B1/CYBB/TM9SF4/MT-CO1/MT-CO2/MT-ND1/MT-ND2/MT-ND4/MT-ND5/CA3/DPP4/CAT/ADAM17/CLDN3/ENO1/HSPG2/LMNA/NONO/SLC2A1/TFRC",24,2.51572924637544,"BP",NA,NA
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","21/622","259/18860",0.0810810810810811,2.45850351959677,4.36470739144093,0.000146122081664903,0.00304979574117115,0.00242078639397529,"RAC1/P2RX7/ATP6V0C/ATP6V0D1/ATP6V1B1/ATP6V1B2/ATP6V1E1/NAPA/RAP1B/ARF6/CDH2/ATP2A2/ACTB/ACTG1/AP2A2/CANX/CASK/EFR3A/PLD1/SCRIB/SNAP23",21,2.51572924637544,"BP",NA,NA
"GO:0009408","GO:0009408","response to heat","12/622","103/18860",0.116504854368932,3.53260699903225,4.75960204887105,0.000147434600793204,0.00306313896625151,0.002431377627116,"DNAJA2/HSP90AB1/EIF2S1/VCP/LYN/DHX36/DNAJA1/EEF1D/HSP90AA1/HSPA1A/HSPA1B/YWHAE",12,2.51383329999161,"BP",NA,NA
"GO:0071353","GO:0071353","cellular response to interleukin-4","7/622","36/18860",0.194444444444444,5.89585566273669,5.42987479966831,0.000148815672140762,0.0030777786738203,0.00244299794791844,"TUBA1B/FASN/HSP90AB1/RPL3/HSPA5/IMPDH2/MCM2",7,2.51176261393746,"BP",NA,NA
"GO:0015931","GO:0015931","nucleobase-containing compound transport","20/622","241/18860",0.0829875518672199,2.51631065629545,4.37506439213797,0.000152846700368595,0.00313343477181959,0.00248717517689139,"SLC25A5/P2RX7/ABCC5/ABCC6/SLC28A2/ATXN2/DHX9/EIF4A3/FXR1/FXR2/HNRNPA1/HNRNPA2B1/KPNB1/NUP43/RAE1/SEH1L/THOC1/THOC3/THOC6/UPF1",20,2.50397934150451,"BP",NA,NA
"GO:0015908","GO:0015908","fatty acid transport","13/622","119/18860",0.109243697478992,3.31243751519901,4.673185534496,0.000152884070185483,0.00313343477181959,0.00248717517689139,"ABCD3/P2RX7/LYN/SLC22A1/SLC22A9/ACSL1/ACSL5/CYP4A11/SLC25A20/SLC27A2/SLC27A5/SLC2A1/ZDHHC5",13,2.50397934150451,"BP",NA,NA
"GO:0009062","GO:0009062","fatty acid catabolic process","12/622","104/18860",0.115384615384615,3.49863962404155,4.71863187803342,0.000161764344779708,0.00330057295402543,0.00261984171318941,"ABCD3/ABCB11/CYP4A11/DECR1/FAAH/HADH/HADHA/HSD17B10/SLC27A2/ACOX3/EHHADH/HADHB",12,2.48141066340307,"BP",NA,NA
"GO:0019882","GO:0019882","antigen processing and presentation","13/622","120/18860",0.108333333333333,3.28483386923901,4.63688552890348,0.000166394314521635,0.00337988451372071,0.00268279555039347,"HLA-DRA/HLA-DQA1/IFI30/HLA-DPB1/PDIA3/CALR/RAB10/RAB35/TAP1/TAP2/TAPBP/HLA-B/HLA-C",13,2.47109813874918,"BP",NA,NA
