"","GeneName","UniProt","Protein_name"
"102","Ddost","P39656","Dolichyl-diphosphooligosaccharide–protein glycosyltransferase 48 kDa subunit"
"103","Ssr4","P51571","Translocon-associated protein subunit delta"
"104","Vcp","P55072","Transitional endoplasmic reticulum ATPase"
"105","Ckap4","Q07065","Cytoskeleton-associated protein 4"
"106","Hyou1","Q9Y4L1","Hypoxia up-regulated protein 1"
"107","BSG","Q865R3","Basigin"
"108","CDH2","P19534","Cadherin-2"
"109","CTSD","P80209","Cathepsin D"
"110","CXADR","Q8WMV3","Coxsackievirus and adenovirus receptor homolog"
"111","DAG1","O18738","Dystroglycan"
"112","EFNB1","A0A3Q1MMC0","Ephrin-B1"
"113","EGFR","A0A3Q1MHB0","Epidermal growth factor receptor"
"114","ERLIN1","A0A3Q1MZY2","Erlin-1"
"115","ERLIN2","A0AAA9TYU4","Erlin-2"
"116","EZR","Q5E9H3","Ezrin"
"117","FAIM2","Q1LZ71","Protein lifeguard 2"
"118","FLOT1","Q08DN8","Flotillin-1"
"119","GJA1","P18246","Gap junction alpha-1 protein"
"120","GJA3","P41987","Gap junction alpha-3 protein"
"121","GNAI1","P63097","Guanine nucleotide-binding protein G(i) subunit alpha-1"
"122","GPC1","G3X745","Glypican-1"
"123","ITGB1","P53712","Integrin beta-1"
"124","KRAS","A0A3Q1LMP2","GTPase KRas"
"125","LAMTOR1","Q3T0D8","Ragulator complex protein LAMTOR1"
"126","LAT","F1MZ60","Blood–brain barrier large neutral amino acid transporter"
"127","PAG1","F1MQC1","Phosphoprotein associated with glycosphingolipid-enriched microdomains 1"
"128","PGK1","Q3T0P6","Phosphoglycerate kinase 1"
"129","PRNP","P10279","Major prion protein"
"130","PSEN1","Q9XT97","Presenilin-1"
"131","RAB5A","Q0IIG7","Ras-related protein Rab-5A"
"132","RALA","Q3ZCK2","Ras related v-ral simian leukemia viral oncogene homolog A"
"133","RAP2B","A4IFU2","Ras-related protein Rap-2b"
"134","STOML2","Q32LL2","Stomatin-like protein 2, mitochondrial"
"135","STX12","A7MAZ2","Syntaxin-12"
"136","STX2","F1MNQ8","Syntaxin-2"
"137","TMED10","Q5E971","Transmembrane emp24 domain-containing protein 10"
"138","TMED2","Q5E971","Transmembrane emp24 domain-containing protein 2"
"139","VDAC2","P68002","Voltage-dependent anion-selective channel protein 2"
"140","P2RX7","Q99572","P2X purinoceptor 7"
"141","Abca6","A4FVC6",NA
"142","Abcb11","O95342",NA
"143","Abcc2","B2RMT8",NA
"144","Abcc5","A5PKY6",NA
"145","Abcc6","O95255",NA
"146","Abcd3","P28288",NA
"147","Aldh3a2","P51648",NA
"148","Anpep","P15144",NA
"149","Anxa6","A0A0S2Z2Z6",NA
"150","Atp1a4","Q13733",NA
"151","Atp1b1","A3KLL5",NA
"152","Atp4a","A0A384MR29",NA
"153","Atp6v0c","P27449",NA
"154","Atp6v0d1","B2R7M1",NA
"155","Atp6v1b1","C9JL73",NA
"156","Atp6v1b2","A0A140VK65",NA
"157","Atp6v1e1","P36543",NA
"158","Cacna2d1","A0A994J595",NA
"159","Cd14","B2R888",NA
"160","Cp","A5PL27",NA
"161","Cyb5a","P00167",NA
"162","Cybb","A0A0S2Z3S6",NA
"163","Egfr","F2YGG7",NA
"164","Enpp1","B2RBY8",NA
"165","Enpp3","A8KA38",NA
"166","Gjb1","A0A654ICJ7",NA
"167","Glipr2","Q5VZR0",NA
"168","Gna11","O15109",NA
"169","Gna13","B4DWV9",NA
"170","Gnal","A8K1Y9",NA
"171","Gnas","A0A0S2Z3H8",NA
"172","Gnb3","E9PCP0",NA
"173","Irgm","A1A4Y4",NA
"174","Iyd","C9JXJ9",NA
"175","Lyn","A8K379",NA
"176","Magt1","A0A8I5KYH1",NA
"177","Msn","P26038",NA
"178","Myadm","B2RE58",NA
"179","Myh10","G1UI33",NA
"180","Myh14","B3KWH4",NA
"181","Napa","A8K879",NA
"182","Nme2","A8MWA3",NA
"183","Nt5e","B2RBH2",NA
"184","Pgrmc1","O00264",NA
"185","Rab10","D6W538",NA
"186","Rab15","G3V196",NA
"187","Rab35","Q15286",NA
"188","Rap1b","A6NIZ1",NA
"189","Rdx","A0A2R8Y5S7",NA
